"date"	"country"	"city"	"killed"	"injured"	"harmed"	"killed_cy"	"injured_cy"	"harmed_cy"	"killed_td"	"injured_td"	"harmed_td"
"2001.09.11"	"Israel"	"Bachan"	2	0	2	2	0	2	2	0	2
"2001.09.11"	"USA"	"New York"	2752	251	3003	2754	251	3005	2754	251	3005
"2001.09.11"	"USA"	"Arlington"	184	53	237	2938	304	3242	2938	304	3242
"2001.09.11"	"USA"	"Shanksville"	40	0	40	2978	304	3282	2978	304	3282
"2001.09.12"	"Pakistan"	"Karachi"	3	0	3	2981	304	3285	2981	304	3285
"2001.09.12"	"Israel"	"Habla"	1	0	1	2982	304	3286	2982	304	3286
"2001.09.13"	"Pakistan"	"Karachi"	3	4	7	2985	308	3293	2985	308	3293
"2001.09.13"	"Pakistan"	"Quetta"	1	1	2	2986	309	3295	2986	309	3295
"2001.09.14"	"India"	"Kashmir"	4	4	8	2990	313	3303	2990	313	3303
"2001.09.15"	"Pakistan"	"Hyderabad"	1	17	18	2991	330	3321	2991	330	3321
"2001.09.15"	"Israel"	"Jerusalem"	1	0	1	2992	330	3322	2992	330	3322
"2001.09.16"	"India"	"Gousu"	1	1	2	2993	331	3324	2993	331	3324
"2001.09.17"	"India"	"Handwara"	9	0	9	3002	331	3333	3002	331	3333
"2001.09.20"	"India"	"Budgam"	2	0	2	3004	331	3335	3004	331	3335
"2001.09.20"	"Israel"	"Tekoa"	1	1	2	3005	332	3337	3005	332	3337
"2001.09.22"	"Pakistan"	"Karachi"	4	24	28	3009	356	3365	3009	356	3365
"2001.09.23"	"England"	"Cambridge"	1	0	1	3010	356	3366	3010	356	3366
"2001.09.24"	"India"	"Kashmir"	4	0	4	3014	356	3370	3014	356	3370
"2001.09.24"	"Bangladesh"	"Mollarhat"	8	100	108	3022	456	3478	3022	456	3478
"2001.09.24"	"Israel"	"Shadmot Mehol"	1	0	1	3023	456	3479	3023	456	3479
"2001.09.25"	"India"	"Doda"	2	2	4	3025	458	3483	3025	458	3483
"2001.09.25"	"Bangladesh"	"Sunamganj"	4	2	6	3029	460	3489	3029	460	3489
"2001.09.25"	"Bangladesh"	"Sylhet"	2	0	2	3031	460	3491	3031	460	3491
"2001.09.26"	"Algeria"	"Larbaa"	22	7	29	3053	467	3520	3053	467	3520
"2001.09.27"	"India"	"Chitti Bandi"	1	0	1	3054	467	3521	3054	467	3521
"2001.09.28"	"India"	"Kashmir"	2	6	8	3056	473	3529	3056	473	3529
"2001.09.29"	"India"	"Panjtirthi"	2	0	2	3058	473	3531	3058	473	3531
"2001.09.30"	"India"	"Gokahama"	2	0	2	3060	473	3533	3060	473	3533
"2001.09.30"	"India"	"Sangla"	3	1	4	3063	474	3537	3063	474	3537
"2001.10.01"	"India"	"Srinagar"	38	60	98	3101	534	3635	3101	534	3635
"2001.10.01"	"Indonesia"	"Tomata"	3	0	3	3104	534	3638	3104	534	3638
"2001.10.02"	"Israel"	"Alei Sinai"	2	15	17	3106	549	3655	3106	549	3655
"2001.10.03"	"Pakistan"	"Karachi"	1	1	2	3107	550	3657	3107	550	3657
"2001.10.03"	"Indonesia"	"Peleru"	10	0	10	3117	550	3667	3117	550	3667
"2001.10.04"	"Israel"	"Afula"	3	13	16	3120	563	3683	3120	563	3683
"2001.10.04"	"India"	"Sogam"	2	0	2	3122	563	3685	3122	563	3685
"2001.10.04"	"Pakistan"	"Azam"	6	7	13	3128	570	3698	3128	570	3698
"2001.10.05"	"Israel"	"Avnei Hefetz"	1	0	1	3129	570	3699	3129	570	3699
"2001.10.06"	"India"	"Udhyanpur"	1	0	1	3130	570	3700	3130	570	3700
"2001.10.07"	"Pakistan"	"Karachi"	4	7	11	3134	577	3711	3134	577	3711
"2001.10.07"	"Israel"	"Sheluhot"	1	0	1	3135	577	3712	3135	577	3712
"2001.10.07"	"Saudi Arabia"	"Khobar"	2	4	6	3137	581	3718	3137	581	3718
"2001.10.09"	"India"	"Bharti"	2	0	2	3139	581	3720	3139	581	3720
"2001.10.11"	"Pakistan"	"Liaquatabad"	2	1	3	3141	582	3723	3141	582	3723
"2001.10.14"	"India"	"Baramulla"	2	1	3	3143	583	3726	3143	583	3726
"2001.10.14"	"Indonesia"	"Tentena"	1	8	9	3144	591	3735	3144	591	3735
"2001.10.14"	"Pakistan"	"Karachi"	2	0	2	3146	591	3737	3146	591	3737
"2001.10.15"	"India"	"Salora"	3	0	3	3149	591	3740	3149	591	3740
"2001.10.15"	"Nigeria"	"Kano"	32	51	83	3181	642	3823	3181	642	3823
"2001.10.16"	"Indonesia"	"Madale"	1	1	2	3182	643	3825	3182	643	3825
"2001.10.16"	"India"	"Kulgam"	1	25	26	3183	668	3851	3183	668	3851
"2001.10.17"	"India"	"Anone Chaba"	1	1	2	3184	669	3853	3184	669	3853
"2001.10.17"	"Israel"	"Jerusalem"	1	0	1	3185	669	3854	3185	669	3854
"2001.10.17"	"Mauritania"	"Nouakchott"	1	1	2	3186	670	3856	3186	670	3856
"2001.10.18"	"Israel"	"Mar Saba"	1	2	3	3187	672	3859	3187	672	3859
"2001.10.18"	"India"	"Kremhore"	3	0	3	3190	672	3862	3190	672	3862
